id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
bivalves	-0.0784	0.8442	1	1043	24349	97	2.9175	54.639	1.2062	34.021	3.9278
black lives matter	0.2911	-0.1928	3	1504	238672	255	0.4863	5.882	0.3569	10.588	0.8353
black metal	0.4584	0.4252	2	985	28085	119	0.0756	2.521	1.084	20.168	1.1513
blogging	0.5304	0.0115	2	1790	204185	214	0.3271	11.682	1.0374	29.907	1.3224
board and table game	0.3648	0.4281	2	1564	102689	459	0.2026	9.15	1.2767	40.087	1.4749
bob dylan	0.6624	0.292	2	1245	72896	103	0.0097	0.971	7.5146	77.67	7.5243
bolivia	-0.3177	-0.2501	1	1662	145525	222	2.991	34.234	1.7477	41.892	4.6126
book	-0.3339	0.4055	4	1957	1247494	3000	0.6613	22.4	2.211	49.6	2.849
bosnia and herzegovina	-1.1647	-0.2498	6	1881	757879	492	0.5264	14.024	4.8435	53.252	5.313
boston	0.4127	-0.4494	3	1926	595791	685	0.2555	9.927	1.819	46.277	2.0701
boston bruins task force	0.5514	-0.76	3	887	39673	96	0	0	1.4896	41.667	1.4896
boston celtics	0.7766	-0.4628	3	917	69418	57	0	0	0.6491	22.807	0.6491
boston red sox	0.8985	-0.5002	3	1127	391447	298	0.0201	1.342	0.9027	32.215	0.9228
botswana	-0.5811	0.0877	1	1125	28509	75	1.2667	28	2.0267	49.333	3.24
bowling	0.657	-0.2382	2	967	9219	35	0.1429	8.571	0.8857	31.429	1
boxing	0.493	-0.2669	3	1662	193567	640	0.0437	2.5	0.7578	22.656	0.8016
bradford	0.0046	0.1141	5	1244	38526	56	0.4643	8.929	2.5714	53.571	3.0357
brands	0.4135	0.3284	2	2053	1343738	1693	0.4773	8.683	1.4968	40.165	1.9569
brazil	-0.0833	-0.4723	1	1887	733964	1573	0.6751	15.003	1.042	28.481	1.6961
brazilian antarctica	-0.3811	-0.3078	1	945	11290	4	7	50	6.75	50	13.75
breakfast	-0.0442	0.7227	1	1458	67689	116	2.0345	25	4.3276	67.241	6.2931
brian epstein	0.759	0.4653	2	1056	22990	11	0	0	15.0909	90.909	15.0909
bridge and tunnel	-0.0873	0.0204	5	1653	186201	821	0.1535	4.385	1.095	38.002	1.2436
brisbane	-0.1433	0.3151	1	1368	81136	306	0.0294	1.961	0.6797	26.471	0.7059
bristol	-0.3155	0.1067	5	1666	225659	440	0.3364	11.591	2.6568	59.545	2.9909
british and irish hills	-0.4015	0.1398	5	926	49495	326	0.0828	5.521	1.6135	30.675	1.6963
british antarctic territory	-0.3975	-0.3117	1	1325	37839	21	2.381	42.857	7.2857	61.905	9.619
british cinema	0.6871	0.1395	2	1790	554508	924	0.1028	5.411	2.4123	42.424	2.5119
british columbia	0.2326	-0.8165	3	1937	555472	1133	0.5843	12.357	1.5481	39.188	2.1218
british columbia road transport	0.2368	-1.0044	3	380	4342	12	0	0	0.5	33.333	0.5
british comics	0.9422	0.236	2	1384	69192	158	0.0506	2.532	1.3608	37.342	1.4114
