id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
australian motorsport	115	0.0	0.0	0.34782608695652173	24.348	0.34782608695652173
australian music	2281	0.010960105217010083	0.833	1.1714160455940377	43.753	1.1823761508110477
australian places	1128	0.03102836879432624	2.748	0.6480496453900709	36.525	0.6790780141843972
australian politics	1331	0.08715251690458302	4.959	0.9646882043576258	44.328	1.051840721262209
australian rules football	473	0.06976744186046512	1.903	0.5602536997885835	22.833	0.6300211416490487
australian sports	950	0.008421052631578947	0.632	1.1305263157894736	26.632	1.1389473684210527
australian television	712	0.012640449438202247	0.983	0.6544943820224719	21.91	0.6671348314606742
austria	1331	0.40721262208865516	12.772	3.3906836964688205	44.778	3.7978963185574757
austria-hungary	107	0.514018691588785	13.084	5.485981308411215	49.533	6.0
autism	249	21.546184738955823	69.076	5.240963855421687	68.273	26.78714859437751
automobile	2363	0.20694033008887008	6.517	1.6665256030469742	44.181	1.8734659331358443
avatar: the last airbender	13	0.0	0.0	1.6153846153846154	61.538	1.6153846153846154
aviation	16991	0.03401800953445942	1.613	0.983638396798305	37.29	1.0176564063327644
aviation accident	974	0.057494866529774126	3.183	0.6129363449691991	23.306	0.6704312114989733
awake	18	0.0	0.0	0.0	0.0	0.0
awards	382	0.2198952879581152	6.545	0.8324607329842932	22.251	1.0523560209424083
ayyavazhi	9	0.5555555555555556	44.444	3.2222222222222223	44.444	3.7777777777777777
azerbaijan	540	0.2740740740740741	9.444	2.3203703703703704	35.0	2.5944444444444446
aztec	48	1.6875	39.583	7.333333333333333	89.583	9.020833333333334
babylon 5	12	0.0	0.0	2.3333333333333335	58.333	2.3333333333333335
backpacking	270	0.362962962962963	10.741	1.211111111111111	37.407	1.5740740740740742
badminton	67	0.014925373134328358	1.493	0.208955223880597	8.955	0.22388059701492538
bagpipes	21	0.0	0.0	0.8571428571428571	28.571	0.8571428571428571
bahamas	63	0.3968253968253968	11.111	1.492063492063492	36.508	1.8888888888888888
bahrain	129	0.5348837209302325	9.302	2.7674418604651163	29.457	3.302325581395349
bahá'í faith	287	0.8815331010452961	45.645	9.411149825783973	87.108	10.292682926829269
balboa park-related	20	0.35	10.0	2.1	55.0	2.45
balkan military history	1846	0.2221018418201517	9.209	3.782231852654388	54.875	4.004333694474539
ballet	545	0.22568807339449543	9.174	2.2036697247706423	35.229	2.4293577981651375
baltic cinema	4	0.25	25.0	0.0	0.0	0.25
baltic states military history	250	0.22	6.4	4.304	55.2	4.524
baltimore	291	0.3127147766323024	9.278	2.075601374570447	45.361	2.388316151202749
bangladesh	979	0.7773237997957099	17.467	4.1787538304392235	43.309	4.956077630234933
bangladesh cricket	17	0.058823529411764705	5.882	0.6470588235294118	23.529	0.7058823529411765
bangladesh premier league	15	0.06666666666666667	6.667	0.6666666666666666	13.333	0.7333333333333333
bangladeshi universities	18	0.0	0.0	0.0	0.0	0.0
banksia	98	6.887755102040816	97.959	3.5918367346938775	93.878	10.479591836734693
baptist work group	332	0.19879518072289157	8.735	3.3072289156626504	45.783	3.5060240963855422
barbados	67	0.29850746268656714	14.925	1.7462686567164178	41.791	2.044776119402985
bartending	23	0.2608695652173913	8.696	1.8695652173913044	47.826	2.130434782608696
baseball	3892	0.03263103802672148	1.362	1.0107913669064748	31.012	1.0434224049331964
baseball hall of fame	308	0.032467532467532464	2.597	3.3863636363636362	70.455	3.418831168831169
basic income	28	3.75	53.571	6.785714285714286	67.857	10.535714285714286
basketball	1441	0.027758501040943788	0.902	0.3934767522553782	13.463	0.421235253296322
bat	334	4.733532934131737	67.665	1.3982035928143712	43.713	6.131736526946108
batman	164	0.042682926829268296	3.049	2.073170731707317	53.659	2.1158536585365852
battlestar galactica	34	0.058823529411764705	5.882	0.08823529411764706	8.824	0.14705882352941177
bavaria	330	0.1	5.152	1.6303030303030304	38.182	1.7303030303030302
bbc	1221	0.06961506961506962	3.849	0.9565929565929566	27.6	1.0262080262080262
beauty pageants	200	0.105	3.0	1.035	19.5	1.14
beekeeping	50	8.76	68.0	3.08	68.0	11.84
beer	357	0.8571428571428571	10.644	2.0056022408963585	47.619	2.8627450980392157
beetle	173	2.560693641618497	50.289	0.7225433526011561	30.058	3.2832369942196533
belarus	319	0.5297805642633229	11.599	3.3510971786833856	44.828	3.8808777429467085
belfast-related	228	0.13596491228070176	4.386	2.258771929824561	50.439	2.3947368421052633
belgium-related	1326	0.2911010558069382	11.011	2.5452488687782804	37.858	2.836349924585219
belgrade	132	0.3106060606060606	9.848	2.6363636363636362	30.303	2.946969696969697
belize	83	0.7108433734939759	20.482	2.5301204819277108	45.783	3.2409638554216866
bell system	19	0.9473684210526315	15.789	1.7894736842105263	36.842	2.736842105263158
ben 10	4	0.0	0.0	0.0	0.0	0.0
benin	72	0.9305555555555556	29.167	3.6805555555555554	44.444	4.611111111111111
berbers	87	0.9310344827586207	27.586	6.919540229885057	73.563	7.850574712643678
berkshire	198	0.08585858585858586	6.566	1.6313131313131313	44.949	1.7171717171717171
bermuda	57	0.10526315789473684	7.018	2.6666666666666665	33.333	2.7719298245614037
bernini	14	0.2857142857142857	21.429	5.571428571428571	57.143	5.857142857142857
beverage	257	1.6809338521400778	21.79	2.5136186770428015	49.805	4.19455252918288
beyoncé	172	0.011627906976744186	1.163	0.3430232558139535	16.279	0.3546511627906977
bhutan	127	1.094488188976378	17.323	4.551181102362205	61.417	5.645669291338582
biathlon	12	0.0	0.0	0.08333333333333333	8.333	0.08333333333333333
bible	3214	0.20566272557560672	9.303	3.0444928438083387	51.307	3.2501555693839452
biblical criticism	43	0.4418604651162791	16.279	6.325581395348837	48.837	6.767441860465116
bibliographies	34	6.470588235294118	47.059	2.6176470588235294	41.176	9.088235294117647
big 12 conference	69	0.07246376811594203	7.246	0.9565217391304348	30.435	1.0289855072463767
big brother	147	0.047619047619047616	1.361	0.6122448979591837	17.687	0.6598639455782312
bihar	184	0.5271739130434783	16.848	5.353260869565218	46.196	5.880434782608695
billie eilish	32	0.0	0.0	0.0	0.0	0.0
biography	141645	0.3562638991845812	9.834	1.5265840657982985	36.75	1.8828479649828798
biography (actors and filmmakers)	6900	0.059420289855072465	3.406	1.7569565217391305	37.565	1.816376811594203
biography (arts and entertainment)	14256	0.1736111111111111	8.607	1.9282407407407407	42.684	2.1018518518518516
biography (core)	200	4.695	77.5	29.28	99.0	33.975
biography (military)	22279	0.16980115804120471	6.594	1.9584361955204452	42.502	2.12823735356165
biography (musicians)	15385	0.05953851153721157	2.775	1.3098472538186545	32.311	1.369385765355866
biography (peerage)	1486	0.5174966352624495	17.766	3.266487213997308	52.355	3.7839838492597577
biography (politics and government)	15042	0.20349687541550326	8.755	2.006315649514692	39.735	2.2098125249301956
biography (royalty)	4084	0.46767874632713025	16.21	4.419441723800196	61.386	4.887120470127326
biography (science and academia)	13839	1.9920514488041043	39.801	1.9519473950429944	43.977	3.943998843847099
biography (sports and games)	18739	0.014995464005549923	0.672	0.6820534713698704	24.057	0.6970489353754202
biology	1155	14.477922077922077	75.584	3.748051948051948	55.758	18.225974025974025
biophysics	1	8.0	100.0	7.0	100.0	15.0
biota of great britain and ireland	11	1.2727272727272727	45.455	1.0909090909090908	54.545	2.3636363636363638
